VoyageID	Lat	Lon	Day	Month	Year	Jul	TypeOfProduct	ProductAmount	UnitOfMeasurement	HandlingDescription	CommentMP	Vessel	VesselID	sequence	VIDdate
AV00434	42.04	-70.2	2	9	1890	106165	sperm	200	bbls		last entry, voyage total	Alcyone	AS0798	1	AV00434:106165
AV00435	18.4	-69.9	27	3	1891	106371	humpback oil	145	gallons		taken onboard from Golden City; half of whale taken in company	Alcyone	AS0798	2	AV00435:106371
AV00435	18.4	-69.9	28	3	1891	106372	oil	160	gallon cask (?)		brought aboard from Golden CIty; type of oil uncertain--maybe humpback	Alcyone	AS0798	3	AV00435:106372
AV00455	21.5	-157.95	13	4	1823	81551	oil	1700	bbls		note on this day: At Oahu coopering our 1700 barrels	Alexander	AS0005	4	AV00455:081551
AV00455	21.5	-157.95	13	4	1823	81551	oil	1700	bbls		note on this day: At Oahu coopering our 1700 barrels	Alexander	AS0005	5	AV00455:081551
AV00455	37.33	-146.66	18	8	1823	81678		NA			on this date log note: 24 months out with oil & blubber to the amount of 2300 bbls	Alexander	AS0005	6	AV00455:081678
AV00455	37.4	-149.7	13	9	1823	81704		NA			on this date log note: This makes 1100 bbls that we have got since the 10 of July 1823	Alexander	AS0005	7	AV00455:081704
AV00775	33.88	-72.98	19	7	1877	101372	sperm oil	14	bbls		the head from the Gracie M. Parker's whale--boiled for halfs	Amelia	AS0061	8	AV00775:101372
AV00775	41.64	-70.93	26	7	1877	101379	oil	250	bbls		as written in final entry, 7/26: 7 months voyage, 250 bbls	Amelia	AS0061	9	AV00775:101379
AV00803	NA	NA	4	4	1857	93961		NA			Offloaded unspecified amount of oil to a schooner.	NA	AS0000	10	AV00803:093961
AV00803	NA	NA	27	7	1857	94075	junk	277	lbs		Sold to Bark Matta of New Bedford today.	NA	AS0000	11	AV00803:094075
AV00803	NA	NA	9	10	1857	94149	whale oil	80	bbls		Stowed down today.	NA	AS0000	12	AV00803:094149
AV00803	NA	NA	21	10	1857	94161	junk	235	lbs		Sold to Bark Lady Suffolk of beverly.	NA	AS0000	13	AV00803:094161
AV01286	-20.26	57.46	31	7	1792	70339	oil	NA			breaking up our hold after oil our Captain sold onshore... [over next three days, each day: discharged a boatload of oil	Asia	AS0916	14	AV01286:070339
AV01286	-20.26	57.46	11	10	1792	70411	oil	26	casks		at Isle de France (Mauritius) sent 26 cask of oil ashore	Asia	AS0916	15	AV01286:070411
AV01286	-20.26	57.46	16	10	1792	70416	oil	NA			at Isle de France (Mauritius) loaded a boat with oil and sent it ashore	Asia	AS0916	16	AV01286:070416
AV01286	21.8	-71.75	11	1	1794	70868	oil	2	tons		at Turks and Caicos (?) sold about 2 tons of oil	Asia	AS0916	17	AV01286:070868
AV01286	21.8	-71.75	13	1	1794	70870	oil	20	bbls		sold about 20 bbls oil	Asia	AS0916	18	AV01286:070870
AV01286	21.8	-71.75	14	1	1794	70871	oil	10	bbls		sold about 10 bbls oil	Asia	AS0916	19	AV01286:070871
AV01286	21.8	-71.75	15	1	1794	70872	oil	7	casks		employed stowing down spalm oil and hoisting up some right whale, sold seven casks	Asia	AS0916	20	AV01286:070872
AV01286	21.8	-71.75	17	1	1794	70874	oil	28	casks		hoisting up oil, sold about 28 casks	Asia	AS0916	21	AV01286:070874
AV01286	21.8	-71.75	18	1	1794	70875	oil	25	casks		sold 25 casks	Asia	AS0916	22	AV01286:070875
AV01286	21.8	-71.75	20	1	1794	70877	oil	25	casks		sold 25 casks	Asia	AS0916	23	AV01286:070877
AV01286	21.8	-71.75	22	1	1794	70879	oil	1	bbls		sold 1 bbl oil	Asia	AS0916	24	AV01286:070879
AV01286	21.8	-71.75	23	1	1794	70880	oil	2	casks		sold 2 cask of oil	Asia	AS0916	25	AV01286:070880
AV01488	18.03	-107.8	20	1	1820	80372	oil	900	bbls		count after stowing	Balaena	AS0064	26	AV01488:080372
AV01488	15.5	-102.99	19	2	1820	80402	oil	1000	bbls		count after stowing	Balaena	AS0064	27	AV01488:080402
AV01488	10.45	-95.8	8	4	1820	80451	oil	1150	bbls		count, after stowed down	Balaena	AS0064	28	AV01488:080451
AV01488	-5.16	-96.5	21	12	1820	80708	oil	1730	bbls		count, after stowing down	Balaena	AS0064	29	AV01488:080708
AV01488	-8.48	-112	4	3	1821	80781	sperm oil	2150	bbls		count, after stowing down oil	Balaena	AS0064	30	AV01488:080781
AV01581	30.61	-25.46	13	9	1854	93027	sperm oil	840	gallons		Stowed down 840 gallons.	Barclay	AS0067	31	AV01581:093027
AV01581	-36.7	-10.06	8	12	1854	93113	right whale oil	45	bbls		This is the Barclay's share from whale caught in company with Ocmulgee 	Barclay	AS0067	32	AV01581:093113
AV01581	-38.25	-18.21	22	12	1854	93127	right whale oil	95	bbls		Stowed down 95 bbls of oil.	Barclay	AS0067	33	AV01581:093127
AV01581	-37.41	-19.06	31	12	1854	93136	right whale	132	bbls			Barclay	AS0067	34	AV01581:093136
AV01581	-35.1	-3.33	6	11	1855	93446	oil	100	bbls			Barclay	AS0067	35	AV01581:093446
AV01581	-15.93	-5.7	28	3	1856	93589		NA				Barclay	AS0067	36	AV01581:093589
AV01581	41.64	-70.93	24	8	1857	94103	bone	2100	lbs			Barclay	AS0067	37	AV01581:094103
AV01581	41.64	-70.93	24	8	1857	94103	Whale oil	1016			No unit specified.	Barclay	AS0067	38	AV01581:094103
AV01581	41.64	-70.93	24	8	1857	94103	Sperm oil	410			No other mention whatsoever of oil yield at any point in these logbook pages. No unit specified for voyage totals.	Barclay	AS0067	39	AV01581:094103
AV01757	-15.88	-5.6	19	11	1859	94920	sperm oil	120	bbls	voyage total to date	120 sperm, 80 whale after 1 year out	Benjamin Franklin	AS0716	40	AV01757:094920
AV01804	31.05	-57.56	18	5	1916	115554	oil	2	casks	stowed		Bertha	AS0440	41	AV01804:115554
AV01804	31.15	-51.03	22	5	1916	115558	oil	2	casks	stowed		Bertha	AS0440	42	AV01804:115558
AV01804	34.4	-54.48	23	8	1916	115651	oil	15	bbls	part of product from whales on 8/20		Bertha	AS0440	43	AV01804:115651
AV01804	34.8	-53.95	24	8	1916	115652	oil	55	bbls	from whales taken on 8/20		Bertha	AS0440	44	AV01804:115652
AV01804	38.33	-57	31	8	1916	115659	oil	56	bbls	from whales taken 8/28		Bertha	AS0440	45	AV01804:115659
AV01853	21.03	-157.45	8	3	1853	92473	oil	1000	bbls		put onboard the ship C Mallory for shipping home	Betsey Williams	AS0074	46	AV01853:092473
AV02118	8.05	-19.56	6	12	1826	82884	oil	40	bbls		from taken whale 1	By Chance	AS1015	47	AV02118:082884
AV02118	39.63	-28.05	7	5	1827	83036	oil	45	bbls		40 bbls from body, about 5 bbls from the head, lost the rest 	By Chance	AS1015	48	AV02118:083036
AV02118	38.58	-28.72	15	6	1827	83075		NA				By Chance	AS1015	49	AV02118:083075
AV02143	-12	-77.2	18	11	1831	84692	Sperm oil	14	bbls	sold	Sold at Port of Callio	Cadmus	AS1019	50	AV02143:084692
AV02143	-12	-77.2	18	11	1831	84692	blackfish oil	10	bbls	sold	Sold at Port of Callio	Cadmus	AS1019	51	AV02143:084692
AV02143	-0.3	-135.58	16	2	1832	84782	oil	120	bbls	stowed	Finished Stowing Down Oil on Feb 16, 1832	Cadmus	AS1019	52	AV02143:084782
AV02143	-0.68	-138.35	30	3	1832	84825	oil	985	bbls	stowed	We have stowed down 985 barrels of oil, 3/30/1832	Cadmus	AS1019	53	AV02143:084825
AV02143	31.33	176.33	28	7	1832	84945	Sperm oil	1400	bbls	stowed	We have stowed down 1400 barrels of Sperm Oil, 7/28/1832	Cadmus	AS1019	54	AV02143:084945
AV02143	34.03	-178.59	14	8	1832	84962	Sperm oil	1500	bbls	running total	We have now onboard 1500 barrels of Sperm Oil	Cadmus	AS1019	55	AV02143:084962
AV02143	-35.06	177.52	6	12	1833	85441	oil	16	bbls	offloaded	Took on shore 16 barrels of Oil	Cadmus	AS1019	56	AV02143:085441
AV02143	-37.68	-173.29	28	12	1833	85463	oil	2400	bbls	running total	We have a full cargo of oil onboard 2400 barrels	Cadmus	AS1019	57	AV02143:085463
AV02280	41.2	-72.05	25	4	1847	90329	whale oil	1987	bbls		record of oil totals in back of log	Candace	AS1029	58	AV02280:090329
AV02280	41.2	-72.05	25	4	1847	90329	sperm oil	94	bbls			Candace	AS1029	59	AV02280:090329
AV02316	-15.93	-5.7	2	4	1892	106743	oil	NA			oil stowed onto Schnr Lottie Beard (presumably); no amount specified	Canton II	AS0087	60	AV02316:106743
AV02316	-9.68	9.76	27	7	1892	106859	sperm oil	6	bbls		split struck/taken ID 17 with Agate: each take 6.5 bbls	Canton II	AS0087	61	AV02316:106859
AV02316	-15.93	-5.7	13	3	1893	107088	oil	NA			on this day commenced to take the Bertha's oil; 441 bbls; finished 3/17	Canton II	AS0087	62	AV02316:107088
AV02476	-18.1	-3.21	5	5	1844	89244	sperm oil	93	bbls		stowed down	Catherwood	AS1057	63	AV02476:089244
AV02476	-18.06	-3.01	7	6	1844	89277	sperm oil	101	bbls		stowed down	Catherwood	AS1057	64	AV02476:089277
AV02476	-17	-2.66	16	6	1844	89286	sperm oil	60	bbls		stowed down	Catherwood	AS1057	65	AV02476:089286
AV02476	-18.53	-36	2	10	1844	89394	sperm oil	102	bbls		stowed down	Catherwood	AS1057	66	AV02476:089394
AV02476	-17.66	-36.83	8	10	1844	89400	sperm oil	34	bbls		stowed down	Catherwood	AS1057	67	AV02476:089400
AV02476	-18.48	-36.08	23	10	1844	89415	sperm oil	122	bbls		stowed down	Catherwood	AS1057	68	AV02476:089415
AV02476	-18.43	-3.83	29	4	1845	89603	sperm oil	80	bbls		stowed down	Catherwood	AS1057	69	AV02476:089603
AV02696	-34.15	70.56	6	11	1844	89429	Right Whale oil	130	bbls	stowed		Charles Phelps	AS1085	70	AV02696:089429
AV02696	-34.08	71.91	24	11	1844	89447	Right Whale oil	95	bbls	stowed		Charles Phelps	AS1085	71	AV02696:089447
AV02696	-37.31	74.81	9	12	1844	89462	Right Whale oil	120	bbls	stowed		Charles Phelps	AS1085	72	AV02696:089462
AV02696	-44.9	129.41	15	1	1845	89499	Right Whale oil	66	bbls	stowed		Charles Phelps	AS1085	73	AV02696:089499
AV02696	13.21	-152.45	10	4	1845	89584	sperm oil	40	bbls	stowed		Charles Phelps	AS1085	74	AV02696:089584
AV02696	51.83	166.05	27	6	1845	89662	Right Whale oil	140	bbls	stowed		Charles Phelps	AS1085	75	AV02696:089662
AV02696	53.65	163.5	18	7	1845	89683	whale oil	95	bbls	stowed	from dead whale taken 7/14/1845	Charles Phelps	AS1085	76	AV02696:089683
AV02696	54.77	161.96	28	8	1845	89724		105	bbls	stowed		Charles Phelps	AS1085	77	AV02696:089724
AV02696	56.5	163.66	19	9	1845	89746	whale oil	110	bbls	stowed		Charles Phelps	AS1085	78	AV02696:089746
AV02696	56.4	163.6	20	9	1845	89747	whale oil	25	bbls	stowed		Charles Phelps	AS1085	79	AV02696:089747
AV02696	56.52	163.49	22	9	1845	89749	whale oil	108	bbls	stowed		Charles Phelps	AS1085	80	AV02696:089749
AV02696	56.25	163.11	29	9	1845	89756	whale oil	120	bbls	stowed		Charles Phelps	AS1085	81	AV02696:089756
AV02696	22.31	-108.3	14	1	1846	89863	blackfish oil	5	bbls	stowed		Charles Phelps	AS1085	82	AV02696:089863
AV02696	53.46	-145.74	1	7	1846	90031	right whale oil	160	bbls	stowed		Charles Phelps	AS1085	83	AV02696:090031
AV02696	-47.43	-76.88	14	12	1846	90197	right whale oil	45	bbls	stowed	reported 70bbls from whale, only stowed 45	Charles Phelps	AS1085	84	AV02696:090197
AV02696	-47.72	-76.85	20	12	1846	90203	right whale oil	50	bbls	run to the tanks		Charles Phelps	AS1085	85	AV02696:090203
AV02696	-47.96	-77.38	23	12	1846	90206	right whale oil	155	bbls	stowed		Charles Phelps	AS1085	86	AV02696:090206
AV02883	-2.78	-30.76	24	10	1856	93799	sperm oil	5	casque		stowed down	Cicero	AS0096	87	AV02883:093799
AV02883	-9.06	-79.99	19	1	1857	93886	sperm oil	6	casque		stowed down	Cicero	AS0096	88	AV02883:093886
AV02883	59.2	155.54	9	7	1857	94057	oil	60	bbls		stowed down	Cicero	AS0096	89	AV02883:094057
AV02883	20.56	-156.64	27	10	1857	94167	sperm oil	1471	gallons		oil count	Cicero	AS0096	90	AV02883:094167
AV02883	20.56	-156.64	27	10	1857	94167	whale oil	4673	gallons		oil count	Cicero	AS0096	91	AV02883:094167
AV02883	20.56	-156.64	28	10	1857	94168	sperm oil	2	casks		to the Mary Sutton	Cicero	AS0096	92	AV02883:094168
AV02883	20.56	-156.64	28	10	1857	94168	whale oil	1	casks		to the Mary Sutton	Cicero	AS0096	93	AV02883:094168
AV02883	55.53	139.43	11	8	1858	94455	whale oil	100	bbls		stowed down	Cicero	AS0096	94	AV02883:094455
AV02883	56.8	142.81	27	8	1858	94471	whale oil	62	bbls		stowed down	Cicero	AS0096	95	AV02883:094471
AV02883	57.04	143.45	30	8	1858	94474	whale oil	40	bbls		stowed down	Cicero	AS0096	96	AV02883:094474
AV02883	57.99	145.98	11	9	1858	94486	whale oil	45	bbls		stowed down	Cicero	AS0096	97	AV02883:094486
AV02883	58.47	150.68	2	10	1858	94507	whale oil	1300	gallons		received from Ship Sharon, stowed down	Cicero	AS0096	98	AV02883:094507
AV02883	54.06	140.16	6	9	1859	94846	whale oil	120	bbls		stowed down	Cicero	AS0096	99	AV02883:094846
AV02883	41.64	-70.93	16	5	1860	95099	whale oil	1083	bbls			Cicero	AS0096	100	AV02883:095099
AV02883	41.64	-70.93	16	5	1860	95099	whale bone	13500	lbs			Cicero	AS0096	101	AV02883:095099
AV02883	41.64	-70.93	16	5	1860	95099	sperm oil	226	bbls			Cicero	AS0096	102	AV02883:095099
AV02883	NA	NA	24	4	1877	101286	whale oil	120	bbls			NA	AS0000	103	AV02883:101286
AV02883	NA	NA	5	10	1877	101450	ambergris	140	lbs		out of one of the whales taken today	NA	AS0000	104	AV02883:101450
AV02884	54.75	136.5	15	8	1861	95555	whale oil	39	bbls		stowed down	Cicero	AS0096	105	AV02884:095555
