VoyageID	Day	Month	Year	Jul	Lat	Lon	VIDSpo	VesselSpo	CaptainSpo	PortSpo	RigSpo	MonthsSpo	SpermSpo	WhaleSpo	Unspecified	InCoWith	SharedWith	Commentx	Vessel	VesselID	VIDdate	sequence
AV01014	24	2	1838	86982	5.56	-21.41	AV15834	Wiscasset		Wiscasset	Ship	28 days				No	0	bound to New Zealand	Ann Maria	AS0878	AV01014:086982	1
AV01014	25	3	1838	87011	17.66	-65.91	AV04243	Elizabeth		Westport	Brig	7			175	No	0		Ann Maria	AS0878	AV01014:087011	2
AV01014	26	3	1838	87012	17.4	-66.13		Sarah				7			400	No	0		Ann Maria	AS0878	AV01014:087012	3
AV01014	27	3	1838	87013	17.52	-66.34	AV11850	Poponnet	Ricerson	Falmouth		4.5			35	No	0		Ann Maria	AS0878	AV01014:087013	4
AV01014	28	3	1838	87014	17.64	-66.56	AV04243	Elizabeth								No	0	had seen whales once since we saw her	Ann Maria	AS0878	AV01014:087014	5
AV01014	1	4	1838	87018	18.13	-67.41	AV08295	Lebaron		Rochester		8			800	No	0		Ann Maria	AS0878	AV01014:087018	6
AV01014	26	4	1838	87043	28.08	-78.83	AV08295	Lebaron		Rochester	Brig				350	No	0		Ann Maria	AS0878	AV01014:087043	7
AV01014	27	4	1838	87044	27.98	-78.26	AV13724	Tanton		Fall River		25 days				No	0		Ann Maria	AS0878	AV01014:087044	8
AV01014	28	4	1838	87045	27.83	-79.11	AV04243	Elizabeth		Westport					180	No	0		Ann Maria	AS0878	AV01014:087045	9
AV01014	4	5	1838	87051	28.7	-77.53	AV13724	Tanton			Brig					No	0	no oil	Ann Maria	AS0878	AV01014:087051	10
AV01014	12	5	1838	87059	27.95	-78.16	AV02096	Brunet		Falmouth					450	No	0		Ann Maria	AS0878	AV01014:087059	11
AV01014	22	5	1838	87069	30.83	-78.01	AV04243	Elizabeth								No	0		Ann Maria	AS0878	AV01014:087069	12
AV01014	30	5	1838	87077	31.06	-78.3	AV00335	Agate		New Bedford		2				No	0	no oil	Ann Maria	AS0878	AV01014:087077	13
AV01014	1	6	1838	87079	31.35	-77.13		Barkeque		Westport					500	No	0		Ann Maria	AS0878	AV01014:087079	14
AV01014	2	6	1838	87080	31.16	-77.25	AV03540	D Franklin								Yes	0		Ann Maria	AS0878	AV01014:087080	15
AV01014	3	6	1838	87081	31.26	-77.1	AV01045	Annawan								No	0		Ann Maria	AS0878	AV01014:087081	16
AV01014	10	6	1838	87088	31.96	-76.96	AV03540	Dr Franklin								No	0	she had a large whale long side	Ann Maria	AS0878	AV01014:087088	17
AV01014	24	6	1838	87102	31.95	-77.15	AV11796	Pocahontas	Wilkey	Newport	Schooner	9			175	No	0		Ann Maria	AS0878	AV01014:087102	18
AV01014	25	6	1838	87103	31.38	-76.33	AV15820	Winslow	Gifford	New Bedford	Bark	10			1150	No	0		Ann Maria	AS0878	AV01014:087103	19
AV01014	28	6	1838	87106	31.8	-75.93	AV03540	Dr. Franklin							700	No	0		Ann Maria	AS0878	AV01014:087106	20
AV01014	4	7	1838	87112	32.53	-76.45	AV03540	Dr. Franklin								No	0	spoke with the Capt, went on board	Ann Maria	AS0878	AV01014:087112	21
AV01014	6	7	1838	87114	31.93	-76.16	AV11796	Pocahontas		Newport						No	0		Ann Maria	AS0878	AV01014:087114	22
AV01014	12	7	1838	87120	32.03	-76.25	AV03540	Dr Franklin								No	0		Ann Maria	AS0878	AV01014:087120	23
AV01015	25	10	1838	87225	-12.91	-30.13	AV08278	Leader	Ball	Westport	Bark	5			260	No	0		Ann Maria	AS0878	AV01015:087225	24
AV01015	29	10	1838	87229	-16.26	-38		Crawford		Warren	Brig	2.5				No	0		Ann Maria	AS0878	AV01015:087229	25
AV01015	2	11	1838	87233	-17.75	-37.13	AV13871	Thomas Windslow	Cornal		Brig	5				No	0		Ann Maria	AS0878	AV01015:087233	26
AV01015	4	11	1838	87235	-17.81	-36.35	AV09707	Mexico	Mackumber	Westport	Brig	5			180	No	0		Ann Maria	AS0878	AV01015:087235	27
AV01015	6	11	1838	87237	-17.03	-36	AV09451	Mattapoisett		Rochester	Brig	5			50	No	0		Ann Maria	AS0878	AV01015:087237	28
AV01015	17	11	1838	87248	-16.7	-36.18	AV09004	Maria		New Bedford		6			400	No	0		Ann Maria	AS0878	AV01015:087248	29
AV01015	18	11	1838	87249	-16.6	-37.33	AV02538	Champion	Sole	Westport	Bark	14			400	No	0		Ann Maria	AS0878	AV01015:087249	30
AV01015	22	11	1838	87253	-17.61	-36.7	AV01046	Annawan	Bates						500	No	0	went on board and got a bluber hook of him	Ann Maria	AS0878	AV01015:087253	31
AV01015	22	11	1838	87253	-17.61	-36.7	AV03541	Dr. Franklin			Bark				90	No	0		Ann Maria	AS0878	AV01015:087253	32
AV01015	24	11	1838	87255	-18.08	-37.41	AV02097	Brunette		Rochester		4				No	0	no oil	Ann Maria	AS0878	AV01015:087255	33
AV01015	28	11	1838	87259	-17.58	-37	AV12882	Sarah		Rochester					300	No	0		Ann Maria	AS0878	AV01015:087259	34
AV01015	1	12	1838	87262	-16.95	-37	AV07998	Juno of Brownell		New Bedford		7			200	No	0		Ann Maria	AS0878	AV01015:087262	35
AV01015	3	12	1838	87264	-17.16	-36.78	AV14143	Troy	King	Bristol	Brig	6			160	No	0	& whale long side	Ann Maria	AS0878	AV01015:087264	36
AV01015	3	12	1838	87264	-17.16	-36.78		President	Hicks?		Bark	3			50	No	0		Ann Maria	AS0878	AV01015:087264	37
AV01015	5	12	1838	87266	-16.45	-37		President	Hix	Westport					50	No	0		Ann Maria	AS0878	AV01015:087266	38
AV01015	7	12	1838	87268	-17.15	-37.6		Novak		Rochester					300	No	0		Ann Maria	AS0878	AV01015:087268	39
AV01015	8	12	1838	87269	-17.36	-37.45	AV01046	Annawan							500	No	0		Ann Maria	AS0878	AV01015:087269	40
