VoyageID	Day	Month	Year	Jul	Enc	Species	Plural	Number_Struck	Number_Tried_Out	Barrel_Yield	Escape_Detail	AmbiguityEnc	CommentEnc	WordingEnc	WordingST	CommentST	sequence	VIDdate
AV00272	15	8	1875	100668	Sighted	Sperm	Yes	0	0	NA	NA				NA	NA	1	AV00272:100668
AV00272	1	9	1875	100685	Lowered	Sperm	Yes	0	0	NA	NA				NA	NA	2	AV00272:100685
AV00272	2	9	1875	100686	Lowered	Sperm	Yes	0	0	NA	NA			whales	NA	NA	3	AV00272:100686
AV00272	2	9	1875	100686	Strike	Sperm	Yes	1	0	NA	Iron Drew or Broke						4	AV00272:100686
AV00272	3	9	1875	100687	Lowered	Sperm	Yes	0	0	NA	NA				NA	NA	5	AV00272:100687
AV00272	6	9	1875	100690	Lowered	Sperm	Yes	0	0	NA	NA				NA	NA	6	AV00272:100690
AV00272	15	9	1875	100699	Strike	Sperm	No	1	1	40							7	AV00272:100699
AV00272	31	10	1875	100745	Strike	Sperm	Yes	1	1	50							8	AV00272:100745
AV00272	14	11	1875	100759	Sighted	Pilot	Yes	0	0	NA	NA				NA	NA	9	AV00272:100759
AV00272	24	11	1875	100769	Lowered	Sperm	Yes	0	0	NA	NA				NA	NA	10	AV00272:100769
AV00272	25	11	1875	100770	Strike	Sperm	Yes	5	5	8						4 whales yield 20 bbls, one whale 7 bbls	11	AV00272:100770
AV00272	3	12	1875	100778	Strike	Sperm	Yes	4	4	NA						oil yield illegible for two whales, 20 bbls each for other two	12	AV00272:100778
AV00272	6	12	1875	100781	Dead	Sperm	No	0	1	20						dead whale	13	AV00272:100781
AV00272	11	12	1875	100786	Lowered	Sperm	Yes	0	0	NA	NA				NA	NA	14	AV00272:100786
AV00272	18	12	1875	100793	Lowered	Sperm	Yes	0	0	NA	NA			raised two large sperm whales	NA	NA	15	AV00272:100793
AV00272	29	1	1876	100835	Sighted	Whale	Yes	0	0	NA	NA			one whales in sight	NA	NA	16	AV00272:100835
AV00272	25	2	1876	100862	Lowered	Pilot	Yes	0	0	NA	NA				NA	NA	17	AV00272:100862
AV00272	15	6	1876	100973	Sighted	Humpback	Yes	0	0	NA	NA			saw 3 whales from the ship but none from the boats	NA	NA	18	AV00272:100973
AV00272	16	6	1876	100974	Sighted	Humpback	Yes	0	0	NA	NA			whales	NA	NA	19	AV00272:100974
AV00272	17	6	1876	100975	Sighted	Humpback	Yes	0	0	NA	NA			whales	NA	NA	20	AV00272:100975
AV00272	20	6	1876	100978	Sighted	Humpback	Yes	0	0	NA	NA			whales	NA	NA	21	AV00272:100978
AV00272	22	6	1876	100980	Sighted	Humpback	Yes	0	0	NA	NA			whales	NA	NA	22	AV00272:100980
AV00272	23	6	1876	100981	Strike	Humpback	No	1	0	NA	Iron Drew or Broke			whale			23	AV00272:100981
AV00272	24	6	1876	100982	Strike	Humpback	No	1	1	NA				got a whale			24	AV00272:100982
AV00272	27	6	1876	100985	Strike	Humpback	Yes	3	2	NA	Lost - No Detail			saw whales			25	AV00272:100985
AV00272	28	6	1876	100986	Strike	Humpback	No	1	1	NA				got whale			26	AV00272:100986
AV00272	1	7	1876	100989	Strike	Humpback	No	1	1	NA				got the whale...			27	AV00272:100989
AV00272	4	7	1876	100992	Strike	Humpback	Yes	2	2	NA				got the whales...			28	AV00272:100992
AV00272	15	7	1876	101003	Strike	Humpback	No	1	0	NA	Line Cut, Parted or Towing Gear			struck a whale			29	AV00272:101003
AV00272	16	7	1876	101004	Sighted	Humpback	Yes	0	0	NA	NA			whales	NA	NA	30	AV00272:101004
AV00272	19	7	1876	101007	Strike	Humpback	Yes	2	2	NA				whale	larboard boat struck and the whale sunk, bow boat struck, towing	stamps show two taken, text says one sunk	31	AV00272:101007
AV00272	3	8	1876	101022	Strike	Humpback	Yes	1	1	NA				struck and turned the whale			32	AV00272:101022
AV00272	6	8	1876	101025	Strike	Humpback	No	1	0	NA	Lost - No Detail		no reference to whale, only a stamp		struck and lost the line		33	AV00272:101025
AV00272	7	8	1876	101026	Strike	Humpback	No	1	0	NA	Iron Drew or Broke			whales			34	AV00272:101026
AV00272	8	8	1876	101027	Strike	Humpback	Yes	2	2	NA				whales			35	AV00272:101027
AV00272	16	8	1876	101035	Strike	Humpback	No	1	0	NA	Iron Drew or Broke			whale			36	AV00272:101035
AV00272	16	8	1876	101035	Strike	Humpback	No	1	1	NA				got the whale			37	AV00272:101035
