sequence	VoyageID	Lat	LatType	Lon	LonType	Day	Month	Year	SpeciesName	Number_Whales	Vessel1	Vessel2	Ocean	Basin	DegLat	MinLat	NS	DegLong	MinLong	EW	PosType	Wording	Remarks
15298	AV00000	0.000	I	0.000	I	28	3	1792	Right	1	Union		Atlantic	South Atlantic							I:I	Off Salsanha Bay (coast of Africa, near Cape Town.)	
15294	AV00000	0.000	I	0.000	I	30	3	1792	Right	1			Atlantic	South Atlantic							I:I	Off Salsanha Bay (coast of Afric, near Cape Town.)	do.
15296	AV00000	0.000	I	0.000	I	31	3	1792	Right	1			Atlantic	South Atlantic							I:I	Off Salsanha Bay (coast of Afric, near Cape Town.)	do.
15293	AV00000	0.000	I	0.000	I	3	4	1792	Right	1			Atlantic	South Atlantic							I:I	Off Salsanha Bay (coast of Afric, near Cape Town.)	do.
15295	AV00000	0.000	I	0.000	I	5	5	1792	Right	1	Polly		Atlantic	South Atlantic							I:I	Off Salsanha Bay (coast of Afric, near Cape Town.)	do.
15297	AV00000	0.000	I	0.000	I	6	5	1792	Right	1	Polly		Atlantic	South Atlantic							I:I	Off Salsanha Bay (coast of Afric, near Cape Town.)	do.
1765	AV00000	70.133	L	-17.000	L	8	5	1792	Right	1			Atlantic	North Atlantic	70	8	N	17	0	W	L:L	off Greenland	
2619	AV00000	70.133	L	-17.000	L	9	5	1792	Right	1			Atlantic	North Atlantic	70	8	N	17	0	W	L:L	off Greenland	
2741	AV00000	70.133	L	-17.000	L	10	5	1792	Right	2			Atlantic	North Atlantic	70	8	N	17	0	W	L:L	off Greenland	
2134	AV00000	70.133	L	-17.000	L	20	5	1792	Right	1			Atlantic	North Atlantic	70	8	N	17	0	W	L:L	off Greenland	
16221	AV00000	-22.000	I	14.000	I	20	5	1792	Humpback	1			Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	
2135	AV00000	70.133	L	-17.000	L	22	5	1792	Right	3			Atlantic	North Atlantic	70	8	N	17	0	W	L:L	off Greenland	
5052	AV00000	70.133	L	-17.000	L	24	5	1792	Right	1			Atlantic	North Atlantic	70	8	N	17	0	W	L:L	off Greenland	10 ft
16226	AV00000	-22.000	I	14.000	I	25	5	1792	Right	1			Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
5053	AV00000	78.333	L	-17.000	L	29	5	1792	Right	1			Atlantic	North Atlantic	78	20	N	17	0	W	L:L	off Greenland	
16219	AV00000	-22.000	I	14.000	I	29	5	1792	Right	1			Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16179	AV00000	-22.000	I	14.000	I	2	6	1792	Humpback	1			Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	
16184	AV00000	-22.000	I	14.000	I	5	6	1792	Right	2			Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	
2138	AV00000	78.333	L	-17.000	L	6	6	1792	Right	2			Atlantic	North Atlantic	78	20	N	17	0	W	L:L	off Greenland	
5055	AV00000	78.333	L	-17.000	L	7	6	1792	Right	1			Atlantic	North Atlantic	78	20	N	17	0	W	L:L	off Greenland	
5421	AV00000	78.333	L	-17.000	L	9	6	1792	Right	2			Atlantic	North Atlantic	78	20	N	17	0	W	L:L	off Greenland	
16225	AV00000	-22.000	I	14.000	I	9	6	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
2142	AV00000	78.767	L	-17.000	L	10	6	1792	Right	1			Atlantic	North Atlantic	78	46	N	17	0	W	L:L	off Greenland	8 ft
16189	AV00000	-22.000	I	14.000	I	10	6	1792	Right	4	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16220	AV00000	-22.000	I	14.000	I	12	6	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16202	AV00000	-22.000	I	14.000	I	13	6	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16192	AV00000	-22.000	I	14.000	I	14	6	1792	Right	2	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
1779	AV00000	78.767	L	-17.000	L	15	6	1792	Right	1			Atlantic	North Atlantic	78	46	N	17	0	W	L:L	off Greenland	10 ft
16199	AV00000	-22.000	I	14.000	I	15	6	1792	Right	2	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16182	AV00000	-22.000	I	14.000	I	16	6	1792	Right	3	Polly	Leo and Bisthus (?)	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	
16196	AV00000	-22.000	I	14.000	I	17	6	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16222	AV00000	-22.000	I	14.000	I	18	6	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16197	AV00000	-22.000	I	14.000	I	20	6	1792	Right	3	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
685	AV00000	76.200	L	-17.000	L	22	6	1792	Right	1			Atlantic	North Atlantic	76	12	N	17	0	W	L:L	off Greenland	11 ft
16181	AV00000	-22.000	I	14.000	I	22	6	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16217	AV00000	-22.000	I	14.000	I	23	6	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16210	AV00000	-22.000	I	14.000	I	24	6	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16194	AV00000	-22.000	I	14.000	I	25	6	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16188	AV00000	-22.000	I	14.000	I	26	6	1792	Right	2	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	
16186	AV00000	-22.000	I	14.000	I	27	6	1792	Right	2	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	
16183	AV00000	-22.000	I	14.000	I	29	6	1792	Right	4	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16200	AV00000	-22.000	I	14.000	I	1	7	1792	Right	2	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16190	AV00000	-22.000	I	14.000	I	3	7	1792	Right	2	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16213	AV00000	-22.000	I	14.000	I	5	7	1792	Right	2	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16216	AV00000	-22.000	I	14.000	I	8	7	1792	Right	2	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16195	AV00000	-22.000	I	14.000	I	9	7	1792	Right	2	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16208	AV00000	-22.000	I	14.000	I	10	7	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16203	AV00000	-22.000	I	14.000	I	11	7	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16218	AV00000	-22.000	I	14.000	I	12	7	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16191	AV00000	-22.000	I	14.000	I	13	7	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16198	AV00000	-22.000	I	14.000	I	14	7	1792	Right	1	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16185	AV00000	-22.000	I	14.000	I	15	7	1792	Right	2	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
16180	AV00000	-22.000	I	14.000	I	19	7	1792	Right	2	Polly	Leo	Atlantic	South Atlantic							I:I	Woolwich Bay (otherwise Walfish Bay, coast of Africa.)	do.
2509	AV00000	79.333	L	-17.000	L	3	5	1793	Right	1			Atlantic	North Atlantic	79	20	N	17	0	W	L:L	off Greenland E.	10 ft
2389	AV00000	79.333	L	-17.000	L	7	5	1793	Right	1			Atlantic	North Atlantic	79	20	N	17	0	W	L:L	off Greenland E.	11 ft
5063	AV00000	77.700	L	9.000	L	6	6	1793	Right	1			Atlantic	North Atlantic	77	42	N	9	0	E	L:L		10 ft
4335	AV00000	77.700	L	9.000	L	12	6	1793	Right	1			Atlantic	North Atlantic	77	42	N	9	0	E	L:L		
325	AV00000	77.567	L	9.000	L	13	6	1793	Right	1			Atlantic	North Atlantic	77	34	N	9	0	E	L:L		10 ft
3972	AV00000	77.567	L	9.000	L	14	6	1793	Right	1			Atlantic	North Atlantic	77	34	N	9	0	E	L:L		9 ft
5066	AV00000	80.500	L	-17.000	L	18	4	1794	Right	1			Atlantic	North Atlantic	80	30	N	17	0	W	L:L	off Greenland E.	
1787	AV00000	79.883	L	-17.000	L	28	4	1794	Right	1			Atlantic	North Atlantic	79	53	N	17	0	W	L:L	off Greenland E.	11 ft
4704	AV00000	78.150	L	-17.000	L	25	5	1794	Right	1			Atlantic	North Atlantic	78	9	N	17	0	W	L:L	off Greenland E.	12 ft
4705	AV00000	76.400	L	-17.000	L	30	5	1794	Right	1			Atlantic	North Atlantic	76	24	N	17	0	W	L:L	off Greenland E.	11 ft
5070	AV00000	76.333	L	7.000	L	31	5	1794	Right	1			Atlantic	North Atlantic	76	20	N	7	0	E	L:L		11 ft
2155	AV00000	76.333	L	6.667	L	7	6	1794	Right	1			Atlantic	North Atlantic	76	20	N	6	40	E	L:L		11 ft
2885	AV00000	78.333	L	-17.000	L	11	5	1795	Right	1			Atlantic	North Atlantic	78	20	N	17	0	W	L:L	off Greenland	
3008	AV00000	78.333	L	-17.000	L	13	5	1795	Right	1			Atlantic	North Atlantic	78	20	N	17	0	W	L:L	off Greenland	
2766	AV00000	78.333	L	-17.000	L	14	5	1795	Right	4			Atlantic	North Atlantic	78	20	N	17	0	W	L:L	off Greenland	
2159	AV00000	78.333	L	-17.000	L	18	5	1795	Right	1			Atlantic	North Atlantic	78	20	N	17	0	W	L:L	off Greenland	
1067	AV00000	78.167	L	-17.000	L	21	5	1795	Right	3			Atlantic	North Atlantic	78	10	N	17	0	W	L:L	off Greenland	small
1068	AV00000	77.983	L	-17.000	L	22	5	1795	Right	1			Atlantic	North Atlantic	77	59	N	17	0	W	L:L	off Greenland	
1798	AV00000	77.983	L	-17.000	L	26	5	1795	Right	4			Atlantic	North Atlantic	77	59	N	17	0	W	L:L	off Greenland	
4350	AV00000	78.000	L	-17.000	L	29	5	1795	Right	1			Atlantic	North Atlantic	78	0	N	17	0	W	L:L	off Greenland	7 ft
1800	AV00000	78.000	L	-17.000	L	31	5	1795	Right	5			Atlantic	North Atlantic	78	0	N	17	0	W	L:L	off Greenland	
2530	AV00000	78.000	L	-17.000	L	1	6	1795	Right	2			Atlantic	North Atlantic	78	0	N	17	0	W	L:L	off Greenland	
2896	AV00000	78.000	L	-17.000	L	7	6	1795	Right	1			Atlantic	North Atlantic	78	0	N	17	0	W	L:L	off Greenland	8 ft
266	AV00000	76.967	L	5.500	L	2	5	1796	Right	1			Atlantic	North Atlantic	76	58	N	5	30	E	L:L		10 1/2 ft
2025	AV00000	77.117	L	5.500	L	13	5	1796	Right	1			Atlantic	North Atlantic	77	7	N	5	30	E	L:L		10 ft
6157	AV00000	77.117	L	5.500	L	18	5	1796	Right	2			Atlantic	North Atlantic	77	7	N	5	30	E	L:L		10 ft
6037	AV00000	76.917	L	5.500	L	20	5	1796	Right	1			Atlantic	North Atlantic	76	55	N	5	30	E	L:L		9 ft
2271	AV00000	76.833	L	5.500	L	29	5	1796	Right	1			Atlantic	North Atlantic	76	50	N	5	30	E	L:L		8 ft
2393	AV00000	76.667	L	5.500	L	30	5	1796	Right	1			Atlantic	North Atlantic	76	40	N	5	30	E	L:L		9 ft
2273	AV00000	76.667	L	5.500	L	5	6	1796	Right	1			Atlantic	North Atlantic	76	40	N	5	30	E	L:L		11 ft
3207	AV00000	76.667	L	5.500	L	10	6	1796	Right	1			Atlantic	North Atlantic	76	40	N	5	30	E	L:L		8 ft
2396	AV00000	78.417	L	-17.000	L	29	4	1797	Right	1			Atlantic	North Atlantic	78	25	N	17	0	W	L:L	off Greenland	
2397	AV00000	79.500	L	-17.000	L	1	5	1797	Right	1			Atlantic	North Atlantic	79	30	N	17	0	W	L:L	off Greenland	10 ft
3087	AV00000	79.333	L	-17.000	L	4	5	1797	Right	1			Atlantic	North Atlantic	79	20	N	17	0	W	L:L	off Greenland	
3007	AV00000	79.333	L	-17.000	L	5	5	1797	Right	1			Atlantic	North Atlantic	79	20	N	17	0	W	L:L	off Greenland	
2768	AV00000	79.333	L	-17.000	L	11	5	1797	Right	1			Atlantic	North Atlantic	79	20	N	17	0	W	L:L	off Greenland	
2890	AV00000	79.167	L	-17.000	L	16	5	1797	Right	1			Atlantic	North Atlantic	79	10	N	17	0	W	L:L	off Greenland	
2891	AV00000	78.800	L	-17.000	L	18	5	1797	Right	1			Atlantic	North Atlantic	78	48	N	17	0	W	L:L	off Greenland	
